หมวด (Category),ระบบ/ดาวเทียม (System/Satellite),โหมด (Mode),รายละเอียดภาพ (Resolution),โพลาไรเซชัน (Polarization),ราคาในคลัง/ราคาที่ 1 (Archive/Price 1),ราคาสั่งถ่าย/ราคาที่ 2 (Tasking/Price 2),หน่วย (Unit),หมายเหตุ (Notes)
ระบบเรดาร์ (Radar / SAR),COSMO SkyMed (X band),ScanSAR Huge,14 x 38 – 100 x 100 m.,"HH, HV, VH, VV",N/A,"78,000",บาท/ภาพ,New Acquisition
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Spotlight (SL),1 m.,"HH, VV","116,400","180,500",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Ultra-fine Stripmap (UFS),3 m.,"HH, VV","68,900","118,800",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Fine Stripmap (FSI),5 m.,"HH, VV","64,200","95,000",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Wide Fine Stripmap (FSII),10 m.,"HH, HV / VV, VH","64,200","90,300",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Standard Stripmap (SS),25 m.,"HH, HV / VV, VH","54,700","85,500",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Narrow ScanSAR (NSC),50 m.,"HH, HV / VV, VH","32,100","42,800",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Wide ScanSAR (WSC),100 m.,"HH, HV / VV, VH","32,100","45,800",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Quad-pol Stripmap (QPSI),8 m.,"HH, HV / VV, VH","71,300","137,800",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Wide Quad-pol Stripmap (QPSII),25 m.,"HH, HV / VV, VH","71,300","137,800",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Wave (WAV),10 m.,"HH, HV / VV, VH","10,700","14,300",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Global Observation (GLO),500 m.,"HH, HV / VV, VH","10,700","14,300",บาท/ภาพ,
ระบบเรดาร์ (Radar / SAR),GaoFen-3 (C band),Extended Incidence Angle (EXT),25 m.,"HH, HV / VV, VH","42,800","57,000",บาท/ภาพ,

"**ราคาดังกล่าวยังไม่รวมภาษีมูลค่าเพิ่ม | สอบถามเพิ่มเติม: สทอภ. (GISTDA) ฝ่ายพัฒนาธุรกิจและการบริการ โทร 0 2143 9593, 0 2141 4564-66,69 | usd@gistda.or.th"
